时间	均为10w组data情况下的时间数据			
				
real				
				
bubble(opt)	1	2	3	4
1st	21.567	13.345	14.422	20.023
2nd	21.435	13.324	14.321	20.11
3rd	22.001	13.323	14.231	20.011
average	21.66766667	13.33066667	14.32466667	20.048
				
heap(opt)				
1st	0.021	0.012	0.011	0.015
2nd	0.022	0.013	0.011	0.014
3rd	0.023	0.012	0.012	0.015
average	0.022	0.012333333	0.011333333	0.014666667
				
fib(opt)				
1st	0.112	0.006	0.005	0.011
2nd	0.111	0.005	0.005	0.012
3rd	0.123	0.006	0.005	0.011
average	0.115333333	0.005666667	0.005	0.011333333
